
### 场景 THR0（种子数 1；T=105120，w=2880，alpha=0.1，kappa=0.01736）
| 方法 | 长期违约率 | 评估段违约率 | 窗口率min | 窗口率max | 最长连违 | 连违p99 | r标准差 | 状态截断次数 | 输出截断 | Q+/κ | 回声P(O|O_{t-w-1}) | 恢复(天) |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| M0(现方案) | 0.1028 | 0.1030 | 0.0997 | 0.1083 | 312 | 119 | 0.000 | 89705 | 0 | 248.3 | 0.721 | - |
| EVT(消融) | 0.5000 | 0.5000 | 0.5000 | 0.5000 | 1 | 1 | 0.001 | 52560 | 0 | 42048.0 | 0.000 | - |
| PIv b=0.5 | 0.1507 | 0.1507 | 0.1497 | 0.1500 | 1 | 1 | 0.003 | 89283 | 0 | 5313.9 | 1.000 | - |
| PIv b=1 | 0.2013 | 0.2014 | 0.1997 | 0.2000 | 1 | 1 | 0.006 | 83923 | 0 | 10757.2 | 1.000 | - |
| PIp b=0.5 | 0.1003 | 0.1003 | 0.0997 | 0.1003 | 3 | 2 | 0.002 | 82741 | 87885 | 28.3 | 0.502 | - |
| PIp b=1 | 0.1003 | 0.1003 | 0.0997 | 0.1003 | 3 | 2 | 0.004 | 82741 | 87885 | 28.3 | 0.502 | - |
| WB-PI kP=200 | 0.1003 | 0.1003 | 0.0997 | 0.1003 | 3 | 2 | 0.015 | 82741 | 87886 | 28.3 | 0.502 | - |
| WB-PI中点 kP=200 | 0.1000 | 0.1000 | 0.1000 | 0.1000 | 1 | 1 | 0.010 | 864 | 94608 | 0.0 | 0.000 | - |
| PIpCI b=0.5 | 0.1003 | 0.1003 | 0.1000 | 0.1003 | 1 | 1 | 0.000 | 94575 | 94575 | 32.4 | 1.000 | - |
| ANCH | 0.1000 | 0.1000 | 0.1000 | 0.1000 | 1 | 1 | 0.001 | 2304 | 0 | 1036.8 | 0.000 | - |
| TTS | 0.1007 | 0.1007 | 0.1003 | 0.1007 | 1 | 1 | 0.005 | 105101 | 94538 | 68.6 | 1.000 | - |
| BLEND c=0.25 | 0.1338 | 0.1338 | 0.1330 | 0.1333 | 1 | 1 | 0.000 | 15909 | 0 | 3508.9 | 1.000 | - |
